iteration,alpha,beta,sigma,rho,Q,bestLength,bestCurrent,nBestPathAnts,nBestCurrentPathAnts
1,1.0,2.0,1.0,0.54,1.0,500.21128052322473,500.21128052322473,1,1
1,1.0,2.0,1.0,0.55,1.0,495.48720613564853,495.48720613564853,1,1
1,1.0,2.0,1.0,0.56,1.0,515.1400252308181,515.1400252308181,1,1
1,1.0,2.0,1.0,0.5700000000000001,1.0,516.2540671506302,516.2540671506302,1,1
1,1.0,2.0,1.0,0.58,1.0,463.81920498614187,463.81920498614187,1,1
1,1.0,2.0,1.0,0.59,1.0,523.9328965595386,523.9328965595386,1,1
1,1.0,2.0,1.0,0.6,1.0,457.82298353393156,457.82298353393156,1,1
1,1.0,2.0,1.0,0.61,1.0,485.58318152586486,485.58318152586486,1,1
1,1.0,2.0,1.0,0.62,1.0,457.273530292279,457.273530292279,1,1
1,1.0,2.0,1.0,0.63,1.0,469.0162356271046,469.0162356271046,1,1
1,1.0,2.0,1.0,0.64,1.0,509.07666608416343,509.07666608416343,1,1
1,1.0,2.0,1.0,0.65,1.0,478.11658683599654,478.11658683599654,1,1
1,1.0,2.0,1.0,0.66,1.0,498.893458018472,498.893458018472,1,1
1,1.0,2.0,1.0,0.67,1.0,506.3694518331904,506.3694518331904,1,1
1,1.0,2.0,1.0,0.68,1.0,486.9905022426831,486.9905022426831,1,1
1,1.0,2.0,1.0,0.6900000000000001,1.0,465.2569252641044,465.2569252641044,1,1
1,1.0,2.0,1.0,0.7000000000000001,1.0,496.85773660904545,496.85773660904545,1,1
1,1.0,2.0,1.0,0.71,1.0,438.0333293087699,438.0333293087699,1,1
1,1.0,2.0,1.0,0.72,1.0,497.607051892035,497.607051892035,1,1
1,1.0,2.0,1.0,0.73,1.0,536.2052358082278,536.2052358082278,1,1
1,1.0,2.0,1.0,0.74,1.0,519.1168531142098,519.1168531142098,1,1
1,1.0,2.0,1.0,0.75,1.0,485.4901354031815,485.4901354031815,1,1
1,1.0,2.0,1.0,0.76,1.0,467.0878313042882,467.0878313042882,1,1
1,1.0,2.0,1.0,0.77,1.0,500.19901757400544,500.19901757400544,1,1
1,1.0,2.0,1.0,0.78,1.0,493.85490710309614,493.85490710309614,1,1
1,1.0,2.0,1.0,0.79,1.0,512.036506296829,512.036506296829,1,1
1,1.0,2.0,1.0,0.8,1.0,484.31579568238294,484.31579568238294,1,1
1,1.0,2.0,1.0,0.81,1.0,508.444069633,508.444069633,1,1
1,1.0,2.0,1.0,0.8200000000000001,1.0,517.9054693039718,517.9054693039718,1,1
1,1.0,2.0,1.0,0.8300000000000001,1.0,486.7568175980438,486.7568175980438,1,1
1,1.0,2.0,1.0,0.84,1.0,525.7543621764526,525.7543621764526,1,1
1,1.0,2.0,1.0,0.85,1.0,520.7249172368275,520.7249172368275,1,1
1,1.0,2.0,1.0,0.86,1.0,504.880852760393,504.880852760393,1,1
1,1.0,2.0,1.0,0.87,1.0,489.58909604399486,489.58909604399486,1,1
1,1.0,2.0,1.0,0.88,1.0,518.0276622490945,518.0276622490945,1,1
1,1.0,2.0,1.0,0.89,1.0,496.5792865556591,496.5792865556591,1,1
1,1.0,2.0,1.0,0.9,1.0,460.4272032290189,460.4272032290189,1,1
1,1.0,2.0,1.0,0.91,1.0,486.0561572411758,486.0561572411758,1,1
1,1.0,2.0,1.0,0.92,1.0,488.0655462231454,488.0655462231454,1,1
1,1.0,2.0,1.0,0.93,1.0,521.1013132676727,521.1013132676727,1,1
1,1.0,2.0,1.0,0.9400000000000001,1.0,508.02066669648724,508.02066669648724,1,1
1,1.0,2.0,1.0,0.9500000000000001,1.0,495.02779115899006,495.02779115899006,1,1
1,1.0,2.0,1.0,0.96,1.0,495.05770826979057,495.05770826979057,1,1
1,1.0,2.0,1.0,0.97,1.0,471.1240326114709,471.1240326114709,1,1
1,1.0,2.0,1.0,0.98,1.0,516.8724450589131,516.8724450589131,1,1
1,1.0,2.0,1.0,0.99,1.0,479.49842980467986,479.49842980467986,1,1
1,1.0,2.0,1.0,1.0,1.0,494.00615450127356,494.00615450127356,1,1
1,1.0,2.0,1.0,0.0,2.0,493.70384553950043,493.70384553950043,1,1
1,1.0,2.0,1.0,0.01,2.0,501.8558118259265,501.8558118259265,1,1
1,1.0,2.0,1.0,0.02,2.0,470.37634803406183,470.37634803406183,1,1
1,1.0,2.0,1.0,0.03,2.0,485.30816768304135,485.30816768304135,1,1
1,1.0,2.0,1.0,0.04,2.0,521.2363118840271,521.2363118840271,1,1
1,1.0,2.0,1.0,0.05,2.0,453.08970182907103,453.08970182907103,1,1
1,1.0,2.0,1.0,0.06,2.0,501.64022511131043,501.64022511131043,1,1
1,1.0,2.0,1.0,0.07,2.0,491.8662948978992,491.8662948978992,1,1
1,1.0,2.0,1.0,0.08,2.0,489.56744320434274,489.56744320434274,1,1
1,1.0,2.0,1.0,0.09,2.0,482.64281192221114,482.64281192221114,1,1
1,1.0,2.0,1.0,0.1,2.0,440.94973910481764,440.94973910481764,1,1
1,1.0,2.0,1.0,0.11,2.0,510.11500666773776,510.11500666773776,1,1
1,1.0,2.0,1.0,0.12,2.0,480.7809350219605,480.7809350219605,1,1
