iteration,alpha,beta,sigma,rho,Q,bestLength,bestCurrent,nBestPathAnts,nBestCurrentPathAnts
50,1.0,2.0,1.0,0.926,0.1,444.3379216625699,513.5741463860217,0,1
50,1.0,2.0,1.0,0.927,0.1,425.4810657787444,465.55369432853166,0,1
50,1.0,2.0,1.0,0.928,0.1,441.2665363216306,528.1967715161657,0,1
50,1.0,2.0,1.0,0.929,0.1,449.74476421176917,502.32366400088307,0,1
50,1.0,2.0,1.0,0.93,0.1,444.9983514829982,466.5010682508739,0,1
50,1.0,2.0,1.0,0.931,0.1,430.2633345230503,493.2860152764058,0,1
50,1.0,2.0,1.0,0.932,0.1,448.0532849006346,518.0818061130866,0,1
50,1.0,2.0,1.0,0.933,0.1,426.08241390886076,471.8369854073019,0,1
50,1.0,2.0,1.0,0.934,0.1,422.7239563630209,504.47060971221026,0,1
50,1.0,2.0,1.0,0.935,0.1,451.56513849785244,493.56280172494303,0,1
50,1.0,2.0,1.0,0.936,0.1,436.5567303635492,469.83392245795784,0,1
50,1.0,2.0,1.0,0.937,0.1,440.3184180741712,491.25880862766905,0,1
50,1.0,2.0,1.0,0.9380000000000001,0.1,451.603268689189,509.198595520218,0,1
50,1.0,2.0,1.0,0.9390000000000001,0.1,437.77092750577185,501.22668013236483,0,1
50,1.0,2.0,1.0,0.9400000000000001,0.1,443.91114975565995,462.35582918837457,0,1
50,1.0,2.0,1.0,0.9410000000000001,0.1,442.6874932419669,466.9273332781011,0,1
50,1.0,2.0,1.0,0.9420000000000001,0.1,454.76290366739215,495.4051993328105,0,1
50,1.0,2.0,1.0,0.9430000000000001,0.1,450.31648418376363,522.0029626172286,0,1
50,1.0,2.0,1.0,0.9440000000000001,0.1,427.4808037699363,511.6074378837263,0,1
50,1.0,2.0,1.0,0.9450000000000001,0.1,451.9872466238841,519.2651093270434,0,1
50,1.0,2.0,1.0,0.9460000000000001,0.1,458.65983514296397,505.271102334887,0,1
50,1.0,2.0,1.0,0.9470000000000001,0.1,412.3330587391738,466.7070884296022,0,1
50,1.0,2.0,1.0,0.9480000000000001,0.1,447.47587387318123,509.02992572898887,0,1
